Date,Searches
7/18/2010,1
7/25/2010,0
8/1/2010,0
8/8/2010,0
8/15/2010,0
8/22/2010,0
8/29/2010,0
9/5/2010,0
9/12/2010,0
9/19/2010,0
9/26/2010,0
10/3/2010,0
10/10/2010,0
10/17/2010,0
10/24/2010,0
10/31/2010,0
11/7/2010,0
11/14/2010,0
11/21/2010,0
11/28/2010,0
12/5/2010,0
12/12/2010,0
12/19/2010,0
12/26/2010,0
1/2/2011,0
1/9/2011,0
1/16/2011,0
1/23/2011,0
1/30/2011,0
2/6/2011,1
2/13/2011,1
2/20/2011,1
2/27/2011,1
3/6/2011,1
3/13/2011,1
3/20/2011,1
3/27/2011,1
4/3/2011,1
4/10/2011,1
4/17/2011,1
4/24/2011,2
5/1/2011,2
5/8/2011,3
5/15/2011,10
5/22/2011,8
5/29/2011,15
6/5/2011,20
6/12/2011,24
6/19/2011,20
6/26/2011,11
7/3/2011,10
7/10/2011,9
7/17/2011,8
7/24/2011,7
7/31/2011,8
8/7/2011,7
8/14/2011,7
8/21/2011,7
8/28/2011,6
9/4/2011,6
9/11/2011,5
9/18/2011,4
9/25/2011,4
10/2/2011,4
10/9/2011,4
10/16/2011,4
10/23/2011,3
10/30/2011,3
11/6/2011,2
11/13/2011,3
11/20/2011,2
11/27/2011,3
12/4/2011,2
12/11/2011,2
12/18/2011,2
12/25/2011,3
1/1/2012,3
1/8/2012,3
1/15/2012,5
1/22/2012,3
1/29/2012,3
2/5/2012,3
2/12/2012,3
2/19/2012,3
2/26/2012,3
3/4/2012,3
3/11/2012,3
3/18/2012,3
3/25/2012,2
4/1/2012,3
4/8/2012,3
4/15/2012,3
4/22/2012,3
4/29/2012,3
5/6/2012,3
5/13/2012,3
5/20/2012,3
5/27/2012,3
6/3/2012,3
6/10/2012,3
6/17/2012,3
6/24/2012,3
7/1/2012,3
7/8/2012,3
7/15/2012,4
7/22/2012,3
7/29/2012,3
8/5/2012,4
8/12/2012,5
8/19/2012,5
8/26/2012,4
9/2/2012,6
9/9/2012,4
9/16/2012,4
9/23/2012,4
9/30/2012,4
10/7/2012,4
10/14/2012,4
10/21/2012,3
10/28/2012,3
11/4/2012,4
11/11/2012,4
11/18/2012,4
11/25/2012,5
12/2/2012,5
12/9/2012,5
12/16/2012,4
12/23/2012,4
12/30/2012,4
1/6/2013,5
1/13/2013,5
1/20/2013,5
1/27/2013,6
2/3/2013,6
2/10/2013,7
2/17/2013,9
2/24/2013,9
3/3/2013,12
3/10/2013,13
3/17/2013,20
3/24/2013,32
3/31/2013,53
4/7/2013,100
4/14/2013,54
4/21/2013,32
4/28/2013,26
